name,type,county,purchasing_url,platform,contact_name,contact_email,contact_phone,notes
City of Brownsville,city,Cameron,https://www.brownsvilletx.gov/402/Procurement-Department,Bonfire (https://brownsvilletx.bonfirehub.com/portal/?tab=openOpportunities) + BidNet Direct/Texas Purchasing Group; legacy list at https://www.brownsvilletx.gov/Bids.aspx,Damian Espinoza (Procurement Director); Jaydy Valdez (Buyer),purchasing@brownsvilletx.gov,(956) 548-6092,Also posts in Brownsville Herald legal notices. Solicitation numbering ###-26-DEPT-RFP/IFB. Airport (BRO) bids run through this office. City site 403-blocks automated fetch - verify current list in Bonfire.
City of Harlingen,city,Cameron,https://harlingentx.gov/departments/finance/bid_opportunities.php,"Own website (Finance/Purchasing); sealed bids to Purchasing Office, 404 S. 54th St.",Purchasing Dept (under Finance Director Cheryl LaBerge),purchasing@harlingentx.gov,(956) 216-5316,"Bids opened at City Hall, 118 E. Tyler Ave. Purchasing page: https://www.harlingentx.gov/departments/finance/purchasing.php"
City of San Benito,city,Cameron,https://www.cityofsanbenito.com/Bids.aspx,Own website (CivicEngage bid postings); RFP list at https://cityofsanbenito.com/573/RFP,City Secretary's Office / Purchasing,,(956) 361-3800,"Sealed bids to Municipal Building, 401 N. Sam Houston Blvd, San Benito TX 78586. Recent 2026 RFP (IT services, No. 2026-0602-001) closed May 2026."
City of Los Fresnos,city,Cameron,https://cityoflosfresnos.com/rfps,Own website,City Hall,,(956) 233-5768,"Specs at City Hall, 520 E Ocean Blvd. FY26 Annual Financial & Compliance Audit RFP due 7/17/2026 (non-construction). No open trade bids found."
City of Port Isabel,city,Cameron,http://www.myportisabel.com/Bids.aspx,Own website (CivicEngage bid postings),City Hall,,(956) 943-2682,City Hall: 305 E. Maxan St. No currently open trade solicitations surfaced; check Bids.aspx directly.
City of South Padre Island,city,Cameron,https://www.beaconbid.com/solicitations/city-of-south-padre-island/open,Beacon Bid (migrated 3/18/2026); legacy page https://www.myspi.org/category/subcategory.php?categoryid=36,,,(956) 761-6456 (City Hall),"Register free at beaconbid.com. Spring 2026 RFQs (beach/dune monitoring, salary survey) closed."
City of La Feria,city,Cameron,https://www.cityoflaferia.com/category/legal-notices/advertisements-for-bids/,Own website (legal notices),City Hall,,(956) 797-2261,"Posts TxCDBG-funded construction bids (e.g., DRP sidewalk/concrete/ADA ramps, Nov 2025). Good target for small concrete/sitework jobs."
City of Rio Hondo,city,Cameron,https://riohondo.us/public-documents,Own website (public documents/notices),City Hall,,(956) 748-2102,No dedicated bid portal; posts CDBG/floodplain notices. Email/SMS alerts available on riohondo.us.
City of Santa Rosa,city,Cameron,,None found (newspaper legal notices),City Hall,,(956) 636-1113,"PO Box 326, Santa Rosa TX 78593. No online procurement presence found; call directly."
Town of Combes,city,Cameron,https://cityofcombes.com,Own website (PDF postings),Town Hall,,(956) 425-7845,"21626 Hand Rd, Combes TX 78535. Has issued sealed-bid construction packages (Unity Park Commercial Project Phase II). No open bids confirmed as of 7/15/2026."
City of Primera,city,Cameron,https://www.cityofprimera.us/public-information-page/,Own website (public information page),City Hall,,(956) 423-9654,Sites primeratx.gov / cityofprimera.us. No open solicitations found.
Town of Palm Valley,city,Cameron,,None found (newspaper legal notices),Town Hall,,(956) 423-8384,Very small town; monitor Valley Morning Star legal notices.
Town of Laguna Vista,city,Cameron,,None found (newspaper legal notices),Town Hall,,(956) 943-1793,No online procurement page found; occasional park/utility projects post via legal notices.
Town of Rancho Viejo,city,Cameron,,None found (newspaper legal notices),Town Hall,,(956) 350-4093,No online bid portal found.
Town of Los Indios,city,Cameron,,None found,Town Hall,,(956) 399-4235,No online procurement presence found.
Town of Indian Lake,city,Cameron,https://indianlaketx.gov/,"None found (own website, no bid section)",Town Hall,,(956) 233-4021,"62 S. Aztec Cove Dr, Los Fresnos TX 78566. Pop. ~750; minimal procurement activity."
Village of Bayview,city,Cameron,,None found,Village Hall,,(956) 233-6402,Tiny village; no online bid postings found.
City of Raymondville,city,Willacy,https://raymondvilletx.us/,Own website / newspaper legal notices,City Hall,,(956) 689-3171,"No dedicated bid page found; contact City Hall, 142 S. 7th St. Raymondville ISD runs a separate active purchasing dept (419 FM 3168)."
City of Lyford,city,Willacy,https://www.lyfordtx.us/,Own website (homepage notices),City Hall,,(956) 347-3512,Recent sealed bid was for a fire water tender apparatus (equipment). No trade construction bids open.
City of San Perlita,city,Willacy,https://cityofsanperlita.com/public-notices/,Own website (public notices),City Hall,,(956) 248-5424,Public notices page is the posting location; no open bids confirmed.
Sebastian (unincorporated),city,Willacy,https://www.co.willacy.tx.us/page/willacy.Public.Notices,Via Willacy County,Willacy County Auditor/Purchasing,,(956) 689-3393,Unincorporated CDP - projects (incl. colonia self-help/CDBG) run through Willacy County; some grant work administered via Cameron County RFPs.
