entity,title,bid_number,trade,due_date,url,contact,notes
Hidalgo County,Hidalgo County Veterans Services New Office/Remodel,RFB 26-0231-05-20-6,"general construction (remodel — likely includes drywall, electrical, roofing scopes)",2026-05-20 (per bid-number convention; released 4/29/2026; 3 addenda issued — may have extended),https://procurement.opengov.com/portal/co-hidalgo-tx,"Hidalgo County Purchasing, purchasing@co.hidalgo.tx.us, (956) 318-2626","UNCERTAIN status — likely closed ~5/20/2026 but addenda sometimes extend dates; verify on OpenGov portal. If closed, ask Purchasing about award and upcoming remodel packages."
McAllen ISD,"Building and Maintenance, Material, Supplies, Equipment, and Related Services (rolling vendor RFP)",RFP 2027-1003,general-construction / MRO trades,2029-06-30 15:00 CT,https://mcallenisd.ionwave.net/Login.aspx,"Purchasing Services 956-971-4466, purchasing@mcallenisd.net",Long-window rolling RFP confirmed via legal notice - submit anytime to get on approved vendor list; positions firm for $335M bond work starting FY2026-27.
Texas Southmost College,Campus Tennis Courts Resurface,RFP 26-05,general-construction,,https://tsc.bonfirehub.com,"TSC Purchasing, (956) 295-3600",Advertised by TSC as a currently open RFP on official channels; due date and 7/15/26 status unverified because TSC site/Bonfire blocked automated fetch — confirm on tsc.bonfirehub.com before pursuing.
IDEA Public Schools,Mid-Valley Building Envelope (bid specifications posted),,roofing/building-envelope,,https://ideapublicschools.org/our-story/finance-budget/pcs/bids-rfps/,"purchasing@ideapublicschools.org (Jose Perez, Director of Procurement & Contract Services)","Bid spec document found on IDEA's RFP file host (ideawp CDN); posting date and open/closed status unverified — confirm on IDEA Bids & RFPs page or Public Purchase (publicpurchase.com/gems/ideaps,tx)."
Weslaco ISD,CSP Roof Improvements at Dr. R.E. Margo Elementary,CSP 26-12-19,roofing,,https://weslacoisd.ionwave.net/Login.aspx,Purchasing 956-969-6732,"FY25-26 bond-program roofing package referenced in search results; due date not confirmed - may have recently closed; verify on IonWave. Related: CSP 26-08-07 Restroom Improvements (Margo & B. Garza MS), 26-01-22 Mary Hoge MS roofing (awarded)."
Weslaco ISD,HVAC Renovations at Beatriz G. Garza Middle School,,mechanical (electrical + drywall/insulation sub scopes),,https://www.highergov.com/sl/contract-opportunity/tx-hvac-renovations-at-beatriz-g-garza-mid-58843599/,Purchasing 956-969-6732,Listed on HigherGov/Bid Banana; part of $160M bond HVAC program running through 2026. Verify open status on weslacoisd.ionwave.net.
South Texas ISD,Building Materials,RFP 27-015,general-construction / building materials,,https://resources.finalsite.net/images/v1776182894/stisdnet/ypwngdz4d5m0ncjr9jjf/RFP27-015BuildingMaterials.pdf,"STISD Business Office, 7001 E Expressway 83, Mercedes, 956-565-2454",FY27-cycle RFP posted ~Apr 2026; proposals due 2:00 PM (exact date in PDF). Sealed proposals to Business Office.
South Texas ISD,"Technology Products, Services, Items, Etc.",RFP 27-004,structured-cabling / low-voltage (catalog),,https://resources.finalsite.net/images/v1766177668/stisdnet/cbkbuz9zkcxbrm3z3rpl/RFP27-004TECHNOLOGYPRODUCTSSERVICESITEMSETC.pdf,STISD Business Office 956-565-2454,FY27 technology catalog RFP posted ~Dec 2025 - route to vendor approval for low-voltage/cabling work; verify current status or annual rebid.
South Texas ISD,"Architectural Services (RFQ, Addendum 3 issued)",RFQ 27-007,structural/design (precursor to construction packages),,https://civiciq.com/public-rfp/south-texas-isd-rfq-27-007-architectural-services-addendum-3,STISD Business Office 956-565-2454,"Signals upcoming STISD facility projects, following CSP 25-010/25-011 athletics builds at Edinburg and Mercedes sites."
La Joya ISD,Facilities Master Plan Services,2026-19,construction-adjacent (facilities planning),,https://www.highergov.com/sl/contract-opportunity/tx-facilities-master-plan-services-55790536/,"Purchasing, lajoyaisd.com/page/purchasing",Not a trade package itself but a precursor to a future bond/construction program - worth tracking; verify status on lajoyaisd.ionwave.net.
